Posicao;Clube;Rodada;Vitorias;Empates;Derrotas;Gols;SG;Pts
19;América_MG;1;0;0;1;00:03;-3;0
3;Athletico_PR;1;1;0;0;02:00;2;3
12;Atlético_MG;1;0;0;1;01:02;-1;0
13;Bahia;1;0;0;1;01:02;-1;0
4;Botafogo;1;1;0;0;02:01;1;3
7;Bragantino;1;1;0;0;02:01;1;3
5;Corinthians;1;1;0;0;02:01;1;3
20;Coritiba;1;0;0;1;00:03;-3;0
14;Cruzeiro  ;1;0;0;1;01:02;-1;0
15;Cuiabá;1;0;0;1;01:02;-1;0
1;Flamengo;1;1;0;0;03:00;3;3
2;Fluminense;1;1;0;0;03:00;3;3
10;Fortaleza;1;0;1;0;01:01;0;1
18;Goiás;1;0;0;1;00:02;-2;0
9;Grêmio;1;1;0;0;01:00;1;3
11;Internacional;1;0;1;0;01:01;0;1
6;Palmeiras;1;1;0;0;02:01;1;3
17;Santos;1;0;0;1;00:01;-1;0
16;São Paulo;1;0;0;1;01:02;-1;0
8;Vasco da Gama;1;1;0;0;02:01;1;3
19;América_MG;2;0;0;2;00:06;-6;0
11;Athletico_PR;2;1;0;1;02:02;0;3
16;Atlético_MG;2;0;1;1;01:02;-1;1
18;Bahia;2;0;0;2;02:04;-2;0
2;Botafogo;2;2;0;0;04:02;2;6
7;Bragantino;2;1;1;0;03:02;1;4
14;Corinthians;2;1;0;1;03:04;-1;3
20;Coritiba;2;0;0;2;00:06;-6;0
12;Cruzeiro  ;2;1;0;1;02:02;0;3
15;Cuiabá;2;0;1;1;02:03;-1;1
8;Flamengo;2;1;0;1;04:02;2;3
1;Fluminense;2;2;0;0;05:00;5;6
3;Fortaleza;2;1;1;0;04:01;3;4
10;Goiás;2;1;0;1;03:03;0;3
13;Grêmio;2;1;0;1;01:01;0;3
6;Internacional;2;1;1;0;03:02;1;4
4;Palmeiras;2;1;1;0;04:03;1;4
17;Santos;2;0;1;1;00:01;-1;1
9;São Paulo;2;1;0;1;04:02;2;3
5;Vasco da Gama;2;1;1;0;04:03;1;4
20;América_MG;3;0;0;3;02:09;-7;0
14;Athletico_PR;3;1;0;2;03:04;-1;3
10;Atlético_MG;3;1;1;1;03:03;0;4
15;Bahia;3;1;0;2;03:04;-1;3
1;Botafogo;3;3;0;0;07:04;3;9
12;Bragantino;3;1;1;1;03:05;-2;4
17;Corinthians;3;1;0;2;04:06;-2;3
19;Coritiba;3;0;1;2;01:07;-6;1
6;Cruzeiro  ;3;2;0;1;05:02;3;6
18;Cuiabá;3;0;1;2;03:05;-2;1
13;Flamengo;3;1;0;2;06:05;1;3
5;Fluminense;3;2;0;1;07:04;3;6
2;Fortaleza;3;2;1;0;08:03;5;7
16;Goiás;3;1;0;2;03:04;-1;3
7;Grêmio;3;2;0;1;03:02;1;6
4;Internacional;3;2;1;0;04:02;2;7
3;Palmeiras;3;2;1;0;06:04;2;7
11;Santos;3;1;1;1;03:03;0;4
8;São Paulo;3;1;1;1;05:03;2;4
9;Vasco da Gama;3;1;1;1;04:04;0;4
20;América_MG;4;0;0;4;03:11;-8;0
10;Athletico_PR;4;2;0;2;05:05;0;6
16;Atlético_MG;4;1;1;2;03:05;-2;4
9;Bahia;4;2;0;2;06:05;1;6
1;Botafogo;4;4;0;0;09:04;5;12
12;Bragantino;4;1;2;1;06:08;-2;5
15;Corinthians;4;1;1;2;05:07;-2;4
19;Coritiba;4;0;1;3;02:10;-8;1
3;Cruzeiro  ;4;3;0;1;07:03;4;9
13;Cuiabá;4;1;1;2;05:06;-1;4
17;Flamengo;4;1;0;3;07:07;0;3
6;Fluminense;4;2;1;1;08:05;3;7
4;Fortaleza;4;2;2;0;09:04;5;8
18;Goiás;4;1;0;3;03:09;-6;3
7;Grêmio;4;2;1;1;06:05;1;7
8;Internacional;4;2;1;1;04:04;0;7
2;Palmeiras;4;3;1;0;11:04;7;10
14;Santos;4;1;1;2;04:05;-1;4
5;São Paulo;4;2;1;1;07:03;4;7
11;Vasco da Gama;4;1;2;1;05:05;0;5
20;América_MG;5;0;1;4;05:13;-8;1
5;Athletico_PR;5;3;0;2;07:05;2;9
8;Atlético_MG;5;2;1;2;07:05;2;7
15;Bahia;5;2;0;3;06:08;-2;6
1;Botafogo;5;5;0;0;12:04;8;15
14;Bragantino;5;1;3;1;08:10;-2;6
16;Corinthians;5;1;1;3;05:10;-5;4
19;Coritiba;5;0;2;3;03:11;-8;2
6;Cruzeiro  ;5;3;0;2;07:05;2;9
17;Cuiabá;5;1;1;3;05:10;-5;4
12;Flamengo;5;2;0;3;09:07;2;6
3;Fluminense;5;3;1;1;10:05;5;10
4;Fortaleza;5;2;3;0;09:04;5;9
18;Goiás;5;1;0;4;03:11;-8;3
10;Grêmio;5;2;1;2;07:09;-2;7
11;Internacional;5;2;1;2;04:06;-2;7
2;Palmeiras;5;4;1;0;15:05;10;13
9;Santos;5;2;1;2;07:05;2;7
7;São Paulo;5;2;2;1;07:03;4;8
13;Vasco da Gama;5;1;3;1;06:06;0;6
20;América_MG;6;0;1;5;05:17;-12;1
5;Athletico_PR;6;4;0;2;10:07;3;12
7;Atlético_MG;6;3;1;2;09:05;4;10
15;Bahia;6;2;0;4;08:11;-3;6
1;Botafogo;6;5;0;1;13:06;7;15
12;Bragantino;6;1;4;1;09:11;-2;7
17;Corinthians;6;1;2;3;06:11;-5;5
19;Coritiba;6;0;2;4;05:14;-9;2
4;Cruzeiro  ;6;4;0;2;11:05;6;12
18;Cuiabá;6;1;1;4;05:12;-7;4
10;Flamengo;6;3;0;3;12:09;3;9
3;Fluminense;6;4;1;1;12:05;7;13
6;Fortaleza;6;2;4;0;09:04;5;10
16;Goiás;6;2;0;4;05:12;-7;6
11;Grêmio;6;2;2;2;07:09;-2;8
13;Internacional;6;2;1;3;04:08;-4;7
2;Palmeiras;6;4;2;0;16:06;10;14
8;Santos;6;3;1;2;08:05;3;10
9;São Paulo;6;2;3;1;08:04;4;9
14;Vasco da Gama;6;1;3;2;06:07;-1;6
19;América_MG;7;1;1;5;07:18;-11;4
8;Athletico_PR;7;4;0;3;10:09;1;12
4;Atlético_MG;7;4;1;2;11:06;5;13
13;Bahia;7;2;1;4;09:12;-3;7
1;Botafogo;7;6;0;1;14:06;8;18
12;Bragantino;7;2;4;1;11:11;0;10
18;Corinthians;7;1;2;4;06:12;-6;5
20;Coritiba;7;0;2;5;06:16;-10;2
6;Cruzeiro  ;7;4;0;3;11:06;5;12
14;Cuiabá;7;2;1;4;06:12;-6;7
7;Flamengo;7;4;0;3;13:09;4;12
3;Fluminense;7;4;1;2;12:06;6;13
11;Fortaleza;7;2;4;1;10:06;4;10
16;Goiás;7;2;1;4;06:13;-7;7
10;Grêmio;7;3;2;2;10:10;0;11
15;Internacional;7;2;1;4;05:11;-6;7
2;Palmeiras;7;4;3;0;16:06;10;15
9;Santos;7;3;2;2;08:05;3;11
5;São Paulo;7;3;3;1;12:06;6;12
17;Vasco da Gama;7;1;3;3;08:11;-3;6
19;América_MG;8;1;1;6;07:20;-13;4
11;Athletico_PR;8;4;0;4;11:11;0;12
4;Atlético_MG;8;4;2;2;12:07;5;14
16;Bahia;8;2;1;5;09:14;-5;7
1;Botafogo;8;7;0;1;16:06;10;21
10;Bragantino;8;3;4;1;13:11;2;13
14;Corinthians;8;2;2;4;08:12;-4;8
20;Coritiba;8;0;3;5;07:17;-10;3
7;Cruzeiro  ;8;4;1;3;12:07;5;13
15;Cuiabá;8;2;2;4;07:13;-6;8
8;Flamengo;8;4;1;3;14:10;4;13
9;Fluminense;8;4;1;3;12:08;4;13
6;Fortaleza;8;3;4;1;12:06;6;13
17;Goiás;8;2;1;5;07:15;-8;7
5;Grêmio;8;4;2;2;12:11;1;14
13;Internacional;8;3;1;4;07:11;-4;10
2;Palmeiras;8;4;4;0;17:07;10;16
12;Santos;8;3;2;3;08:07;1;11
3;São Paulo;8;4;3;1;14:07;7;15
18;Vasco da Gama;8;1;3;4;08:13;-5;6
18;América_MG;9;2;1;6;09:20;-11;7
8;Athletico_PR;9;5;0;4;12:11;1;15
3;Atlético_MG;9;5;2;2;13:07;6;17
15;Bahia;9;2;2;5;09:14;-5;8
1;Botafogo;9;7;0;2;16:07;9;21
11;Bragantino;9;3;4;2;14:13;1;13
16;Corinthians;9;2;2;5;08:14;-6;8
20;Coritiba;9;0;3;6;08:20;-12;3
10;Cruzeiro  ;9;4;1;4;12:08;4;13
14;Cuiabá;9;3;2;4;08:13;-5;11
5;Flamengo;9;5;1;3;18:11;7;16
6;Fluminense;9;5;1;3;14:09;5;16
9;Fortaleza;9;3;5;1;12:06;6;14
17;Goiás;9;2;1;6;07:16;-9;7
4;Grêmio;9;5;2;2;14:12;2;17
13;Internacional;9;3;2;4;08:12;-4;11
2;Palmeiras;9;5;4;0;20:08;12;19
12;Santos;9;3;3;3;09:08;1;12
7;São Paulo;9;4;3;2;15:09;6;15
19;Vasco da Gama;9;1;3;5;09:17;-8;6
18;América_MG;10;2;2;6;11:22;-11;8
7;Athletico_PR;10;5;1;4;14:13;1;16
4;Atlético_MG;10;5;3;2;14:08;6;18
15;Bahia;10;2;3;5;11:16;-5;9
1;Botafogo;10;8;0;2;18:07;11;24
11;Bragantino;10;3;5;2;15:14;1;14
16;Corinthians;10;2;3;5;09:15;-6;9
20;Coritiba;10;0;4;6;08:20;-12;4
9;Cruzeiro  ;10;4;2;4;14:10;4;14
14;Cuiabá;10;3;3;4;09:14;-5;12
3;Flamengo;10;6;1;3;21:11;10;19
5;Fluminense;10;5;2;3;16:11;5;17
10;Fortaleza;10;3;5;2;12:08;4;14
17;Goiás;10;2;2;6;09:18;-9;8
6;Grêmio;10;5;2;3;14:15;-1;17
12;Internacional;10;4;2;4;10:13;-3;14
2;Palmeiras;10;6;4;0;22:08;14;22
13;Santos;10;3;4;3;09:08;1;13
8;São Paulo;10;4;3;3;15:11;4;15
19;Vasco da Gama;10;1;3;6;10:19;-9;6
18;América_MG;11;2;2;7;12:25;-13;8
11;Athletico_PR;11;5;1;5;15:15;0;16
5;Atlético_MG;11;5;4;2;15:09;6;19
14;Bahia;11;3;3;5;12:16;-4;12
1;Botafogo;11;9;0;2;19:07;12;27
8;Bragantino;11;4;5;2;19:14;5;17
15;Corinthians;11;3;3;5;11:15;-4;12
20;Coritiba;11;0;4;7;08:21;-13;4
12;Cruzeiro  ;11;4;2;5;14:11;3;14
16;Cuiabá;11;3;3;5;09:15;-6;12
4;Flamengo;11;6;1;4;21:15;6;19
6;Fluminense;11;5;3;3;17:12;5;18
9;Fortaleza;11;4;5;2;13:08;5;17
17;Goiás;11;3;2;6;10:18;-8;11
3;Grêmio;11;6;2;3;17:16;1;20
10;Internacional;11;5;2;4;11:13;-2;17
2;Palmeiras;11;6;4;1;22:09;13;22
13;Santos;11;3;4;4;09:10;-1;13
7;São Paulo;11;5;3;3;17:12;5;18
19;Vasco da Gama;11;1;3;7;10:20;-10;6
19;América_MG;12;2;2;8;13:27;-14;8
10;Athletico_PR;12;6;1;5;16:15;1;19
9;Atlético_MG;12;5;4;3;16:11;5;19
14;Bahia;12;3;3;6;13:18;-5;12
1;Botafogo;12;10;0;2;20:07;13;30
6;Bragantino;12;5;5;2;21:14;7;20
15;Corinthians;12;3;3;6;11:16;-5;12
20;Coritiba;12;0;4;8;09:26;-17;4
12;Cruzeiro  ;12;5;2;5;15:11;4;17
16;Cuiabá;12;3;3;6;09:16;-7;12
4;Flamengo;12;7;1;4;24:17:00;7;22
5;Fluminense;12;6;3;3;19:13;6;21
7;Fortaleza;12;5;5;2;15:09;6;20
17;Goiás;12;3;2;7;10:20;-10;11
2;Grêmio;12;7;2;3;22:17;5;23
8;Internacional;12;6;2;4;13:14;-1;20
3;Palmeiras;12;6;4;2;22:10;12;22
13;Santos;12;3;4;5;11:13;-2;13
11;São Paulo;12;5;3;4;17:13;4;18
18;Vasco da Gama;12;2;3;7;11:20;-9;9
19;América_MG;13;2;3;8;15:29;-14;9
11;Athletico_PR;13;6;2;5;18:17;1;20
9;Atlético_MG;13;5;5;3;18:13;5;20
15;Bahia;13;3;3;7;14:20;-6;12
1;Botafogo;13;11;0;2;22:07;15;33
5;Bragantino;13;6;5;2;22:14;8;23
16;Corinthians;13;3;3;7;11:17;-6;12
20;Coritiba;13;1;4;8;11:27;-16;7
12;Cruzeiro  ;13;5;3;5;15:11;4;18
13;Cuiabá;13;4;3;6;12:16;-4;15
3;Flamengo;13;8;1;4;26:17:00;9;25
6;Fluminense;13;6;3;4;19:14;5;21
10;Fortaleza;13;5;5;3;15:11;4;20
17;Goiás;13;3;2;8;11:22;-11;11
2;Grêmio;13;8;2;3;24:18:00;6;26
8;Internacional;13;6;3;4;13:14;-1;21
4;Palmeiras;13;6;5;2;24:12:00;12;23
14;Santos;13;3;4;6;11:16;-5;13
7;São Paulo;13;6;3;4;18:13;5;21
18;Vasco da Gama;13;2;3;8;11:22;-11;9
20;América_MG;14;2;3;9;16:32;-16;9
12;Athletico_PR;14;6;2;6;18:18;0;20
11;Atlético_MG;14;5;5;4;18:14;4;20
16;Bahia;14;3;4;7;15:21;-6;13
1;Botafogo;14;12;0;2;24:07:00;17;36
5;Bragantino;14;6;6;2;22:14;8;24
15;Corinthians;14;4;3;7;12:17;-5;15
18;Coritiba;14;2;4;8;14:28;-14;10
9;Cruzeiro  ;14;6;3;5;16:11;5;21
14;Cuiabá;14;4;4;6;13:17;-4;16
2;Flamengo;14;8;2;4;27:18:00;9;26
6;Fluminense;14;7;3;4;21:14;7;24
7;Fortaleza;14;6;5;3;16:11;5;23
17;Goiás;14;3;2;9;14:26;-12;11
3;Grêmio;14;8;2;4;24:20:00;4;26
10;Internacional;14;6;3;5;13:16;-3;21
4;Palmeiras;14;6;6;2;25:13:00;12;24
13;Santos;14;4;4;6;15:19;-4;16
8;São Paulo;14;6;4;4;18:13;5;22
19;Vasco da Gama;14;2;3;9;11:23;-12;9
20;América_MG;15;2;3;10;16:33;-17;9
9;Athletico_PR;15;7;2;6;20:18;2;23
12;Atlético_MG;15;5;6;4;18:14;4;21
16;Bahia;15;3;4;8;15:23;-8;13
1;Botafogo;15;13;0;2;26:07:00;19;39
7;Bragantino;15;6;6;3;22:16;6;24
14;Corinthians;15;4;4;7;16:21;-5;16
19;Coritiba;15;2;5;8;14:28;-14;11
10;Cruzeiro  ;15;6;4;5;16:11;5;22
13;Cuiabá;15;5;4;6;14:17;-3;19
2;Flamengo;15;8;3;4;27:18:00;9;27
6;Fluminense;15;7;4;4;21:14;7;25
8;Fortaleza;15;6;5;4;16:12;4;23
18;Goiás;15;3;3;9;14:26;-12;12
3;Grêmio;15;8;3;4;28:24:00;4;27
11;Internacional;15;6;4;5;13:16;-3;22
4;Palmeiras;15;6;7;2;25:13:00;12;25
15;Santos;15;4;4;7;16:23;-7;16
5;São Paulo;15;7;4;4;22:14;8;25
17;Vasco da Gama;15;3;3;9;12:23;-11;12
20;América_MG;16;2;4;10;17:34;-17;10
5;Athletico_PR;16;8;2;6;22:18;4;26
13;Atlético_MG;16;5;6;5;18:15;3;21
17;Bahia;16;3;5;8;15:23;-8;14
1;Botafogo;16;13;1;2;28:09:00;19;40
7;Bragantino;16;6;7;3;22:16;6;25
14;Corinthians;16;4;5;7;16:21;-5;17
18;Coritiba;16;3;5;8;16:28;-12;14
11;Cruzeiro  ;16;6;4;6;16:12;4;22
12;Cuiabá;16;6;4;6;16:18;-2;22
4;Flamengo;16;8;4;4;28:19:00;9;28
8;Fluminense;16;7;4;5;21:16;5;25
9;Fortaleza;16;6;5;5;17:15;2;23
16;Goiás;16;4;3;9;15:26;-11;15
2;Grêmio;16;9;3;4;29:24:00;5;30
10;Internacional;16;6;5;5;13:16;-3;23
3;Palmeiras;16;7;7;2;28:14:00;14;28
15;Santos;16;4;5;7;18:25;-7;17
6;São Paulo;16;7;4;5;23:16;7;25
19;Vasco da Gama;16;3;3;10;12:25;-13;12
20;América_MG;17;2;4;11;18:38;-20;10
7;Athletico_PR;17;8;3;6;25:21:00;4;27
13;Atlético_MG;17;5;6;6;19:17;2;21
17;Bahia;17;3;6;8;15:23;-8;15
1;Botafogo;17;14;1;2;32:10:00;22;43
5;Bragantino;17;7;7;3;25:16:00;9;28
14;Corinthians;17;5;5;7;19:22;-3;20
18;Coritiba;17;3;5;9;17:32;-15;14
10;Cruzeiro  ;17;6;5;6;19:15;4;23
9;Cuiabá;17;7;4;6;18:19;-1;25
3;Flamengo;17;9;4;4;30:20:00;10;31
6;Fluminense;17;8;4;5;22:16;6;28
11;Fortaleza;17;6;5;6;17:18;-1;23
16;Goiás;17;4;4;9;16:27;-11;16
4;Grêmio;17;9;4;4;30:25:00;5;31
12;Internacional;17;6;5;6;14:18;-4;23
2;Palmeiras;17;8;7;2;32:15:00;17;31
15;Santos;17;4;5;8;18:26;-8;17
8;São Paulo;17;7;5;5;23:16;7;26
19;Vasco da Gama;17;3;3;11;13:28;-15;12
20;América_MG;18;2;4;12;19:41;-22;10
7;Athletico_PR;18;8;4;6;26:22:00;4;28
10;Atlético_MG;18;6;6;6;21:17;4;24
16;Bahia;18;4;6;8;18:24;-6;18
1;Botafogo;18;14;2;2;32:10:00;22;44
3;Bragantino;18;8;7;3;26:16:00;10;31
14;Corinthians;18;5;6;7;21:24;-3;21
19;Coritiba;18;3;5;10;17:33;-16;14
11;Cruzeiro  ;18;6;6;6;19:15;4;24
8;Cuiabá;18;8;4;6;21:19;2;28
4;Flamengo;18;9;4;5;30:23:00;7;31
5;Fluminense;18;9;4;5;24:17:00;7;31
13;Fortaleza;18;6;5;7;17:19;-2;23
15;Goiás;18;5;4;9;17:27;-10;19
6;Grêmio;18;9;4;5;30:26:00;4;31
12;Internacional;18;6;6;6;16:20;-4;24
2;Palmeiras;18;8;7;3;33:17:00;16;31
17;Santos;18;4;6;8;19:27;-8;18
9;São Paulo;18;7;5;6;23:18;5;26
18;Vasco da Gama;18;4;3;11;14:28;-14;15
20;América_MG;19;2;4;13;19:42;-23;10
6;Athletico_PR;19;9;4;6;28:22:00;6;31
10;Atlético_MG;19;7;6;6;22:17;5;27
16;Bahia;19;4;6;9;18:25;-7;18
